objectid,hospital_category,hospital_name,hospital_id,no_of_wards,district_name,source,gfcode,description,x_coordinate,y_coordinate,province_name,address,gon_division,telephone,institute,ownership
"13077",Divisional Hospital,"Divisional Hospital, Thalaimannar","4575",,Mannar,,,,"79.72725","9.08903",Northern,"Divisional Hospital, Thalaimannar, Mannar",Thalaimannar,023 2281055,"Divisional Hospital, Thalaimannar", 
"13078",Clinic,Musalpitiya,"5228",,Puttalam,,,,"79.727488","8.171166",North Western,"Musalpitiya, Palliwasalthurei",Musalpitiya,"716150334",Musalpitiya, 
"13079",PMCU,PMCU Thalawila,"5226",,Puttalam,,,,"79.728457","8.116141",North Western,"Kalkuduwa, Thalawila",Thalawila,"718505143",PMCU Thalawila, 
"13080",Clinic,Clinic - Thalawila PMCU,"8458",,Puttalam,,,,"79.728457","8.116141",North Western, , , ,Clinic - Thalawila PMCU, 
"13081",Clinic,Thihaliya,"5225",,Puttalam,,,,"79.730077","8.102055",North Western,"School Road, Thihaliya",Thihaliya,"785284610",Thihaliya, 
"13082",Clinic,Alankuda,"5222",,Puttalam,,,,"79.731548","8.062699",North Western,"Kalpitiya Road, Alankuda",Alankuda,"719376283",Alankuda, 
"13083",Clinic,Eththala,"5223",,Puttalam,,,,"79.731984","8.094009",North Western,"Kalpitiya Road, Eththala",Eththala,"785284610",Eththala, 
"13084",Clinic,Clinic - Alankuda PMCU,"8459",,Puttalam,,,,"79.73219","8.06158",North Western, , , ,Clinic - Alankuda PMCU, 
"13085",PMCU,Alankuda PMCU,"8460",,Puttalam,,,,"79.73219","8.06158",North Western,"PMCU, Eththale, Alankuda", , ,Alankuda PMCU,Provincial Council
"13086",Clinic,GHC Thalaimannar,"4604",,Mannar,,,,"79.73318","9.0972",Northern,"Kudiyiruppu,Thalaimannar peir, Mannar",Thalaimannar peir,"-",GHC Thalaimannar, 
"13087",Clinic,Paniadiya,"5216",,Puttalam,,,,"79.735771","8.037554",North Western,"Poolachenai, Nuracholai",Poolachenai,"721481249",Paniadiya, 
"13088",Clinic,Palliwasalthurai,"5229",,Puttalam,,,,"79.737361","8.182412",North Western,"Kalpitiya road,  Palliwasalthurai",Palliwasalthirai,"768332364",Palliwasalthurai, 
"13089",Clinic,Kurinjampitiya,"5230",,Puttalam,,,,"79.738412","8.205161",North Western,"Kalpitiya road, Kurinjampitiya",Kurinjampitiya South,"715692712",Kurinjampitiya, 
"13090",Clinic,Nuracholai,"5221",,Puttalam,,,,"79.738914","8.043833",North Western,"Behind Post Office, Nuracholai",Nuracholai,"772532168",Nuracholai, 
"13091",PMCU,PMCU Mampuriya,"5220",,Puttalam,,,,"79.740944","8.001033",North Western,"Kalpiti Road, Mampuriya",Mampuriya,"714405424",PMCU Mampuriya, 
"13092",Clinic,Clinic - Mampuri PMCU,"8461",,Puttalam,,,,"79.740944","8.001033",North Western, , , ,Clinic - Mampuri PMCU, 
"13093",Clinic,Daluwa,"5219",,Puttalam,,,,"79.750495","7.968919",North Western,"Daluwa, Mampuriya",Nirmalapura,"721242927",Daluwa, 
"13094",Clinic,Clinic - Kandathoduwa,"8474",,Puttalam,,,,"79.754866","7.910077",North Western, , , ,Clinic - Kandathoduwa, 
"13095",Clinic,Mukkuthoduwawa,"5199",,Puttalam,,,,"79.754948","7.910099",North Western,"Mukkuthoduwawa, Madurankuliya",Mukkuthoduwawa,"710177218",Mukkuthoduwawa, 
"13096",Clinic,Palliyawasalpaduwa,"5198",,Puttalam,,,,"79.761041","7.881107",North Western,"Palliwasalpaduwa, Kottantivu",Palliwasalpaduwa,"774160153",Palliyawasalpaduwa, 
"13097",MOH Office,MOH Kalpitiya,"5215",,Puttalam,,,,"79.761403","8.228629",North Western,"Mandalakuda, Kalpitiya",Mandalakuda,"322260840",MOH Kalpitiya, 
"13098",Divisional Hospital,Divisional Hospital - Analaithivu,"7219",,Jaffna,,,,"79.76224","9.66607",Northern, , , ,Divisional Hospital - Analaithivu, 
"18761",MOH Office,MOH Office Ampara,"8002",,Ampara,,,,"81.689872","7.296619",Eastern,"MOH Office, Ampara", ,"0632222279",MOH Office Ampara,Provincial Council
"13100",Divisional Hospital,Divisional Hospital - Kalpitiya,"5232",,Puttalam,,,,"79.766603","8.234118",North Western,"Hospital road, Kalpitiya",Sinnakudieruppu,"322260261",Divisional Hospital - Kalpitiya, 
"13101",Clinic,Clinic - Kalpitiya DH,"8463",,Puttalam,,,,"79.766603","8.234118",North Western, , , ,Clinic - Kalpitiya DH, 
"13102",Divisional Hospital,Divisional Hospital - Nainathivu,"7217",,Jaffna,,,,"79.76834","9.60556",Northern, , , ,Divisional Hospital - Nainathivu, 
"13103",Clinic,Clinic - DH Nainativu,"8346",,Jaffna,,,,"79.76834","9.60556",Northern, , , ,Clinic - DH Nainativu, 
"13104",Clinic,Sinnapaduwa,"5197",,Puttalam,,,,"79.769331","7.852011",North Western,"Opposite Church, Sinnapaduwa, Kottantivu",Sinnapaduwa,"715827655",Sinnapaduwa, 
"13105",Clinic,Clinic - Aanawasala,"8464",,Puttalam,,,,"79.782315","7.965687",North Western, , , ,Clinic - Aanawasala, 
"13106",Clinic,Sethapola,"5218",,Puttalam,,,,"79.782315","7.965739",North Western,"School road, Sethapola",Sethapola,"712200360",Sethapola, 
"13107",Clinic,Kattakaduwa,"5196",,Puttalam,,,,"79.786299","7.843558",North Western,"Clinic Centre, Kattakaduwa",Kattakaduwa,"778708744",Kattakaduwa, 
"13108",Clinic,Sea Beach,"5171",,Puttalam,,,,"79.787812","7.584218",North Western,"Sea Beach clinic, Egodawaththa, Chilaw",Sea Beach South,"776055242",Sea Beach, 
"13109",Clinic,Egodawaththa,"5164",,Puttalam,,,,"79.787915","7.584241",North Western,"Egodawaththa, Chilaw",Egodawaththa,"710444616",Egodawaththa, 
"13110",Clinic,Andimunei,"5192",,Puttalam,,,,"79.78916","7.760021",North Western,"Clinic, Andimunei",Andimunei,"711261585",Andimunei, 
"13111",Divisional Hospital,Divisional Hospital - Udappuwa,"5191",,Puttalam,,,,"79.789429","7.759881",North Western,DH Udappuwa,Andimunei,"322258635",Divisional Hospital - Udappuwa, 
"13112",Clinic,Clinic - Udappuwa DH,"8470",,Puttalam,,,,"79.789429","7.759881",North Western, , , ,Clinic - Udappuwa DH, 
"13113",PMCU,Koththanthivu PMCU,"5195",,Puttalam,,,,"79.791372","7.854955",North Western,"DH Kottantivu, Mundal",Kottantivu,"323297813",Koththanthivu PMCU, 
"13114",Clinic,Ambakandawila,"5168",,Puttalam,,,,"79.792516","7.541179",North Western,"Palugasthenna, Ambakandawila.",Welihena,"717111042",Ambakandawila, 
"13115",Clinic,Lansiyawaththa,"5163",,Puttalam,,,,"79.792647","7.574358",North Western,"Lansiyawaththa, Chilaw",Pitipana South,"715640118",Lansiyawaththa, 
"13116",Other Health Institute,Suwana Hospital (Pvt),"5260",,Puttalam,,,,"79.796843","7.576387",North Western,"Kurunegala Road, Chilaw",Pitipana-East,"322220500",Suwana Hospital (Pvt), 
"13117",District General Hospital,D G Hospital - Chilaw,"5174",,Puttalam,,,,"79.797427","7.572204",North Western,"District General Hpspital, Chilaw",Pitipana North,"322223261",D G Hospital - Chilaw,Line Ministry
"13118",Clinic,Sameeragama OLD,"5205",,Puttalam,,,,"79.79827","7.883776",North Western,"Library Building, Sameeragama",Sameeragama,"718897305",Sameeragama OLD, 
"13119",Clinic,Sameeragama New,"5206",,Puttalam,,,,"79.798536","7.881956",North Western,"Kanamulla Road, Sameeragama",Sameeragama,"718897305",Sameeragama New, 
"13120",Clinic,Iranawila,"5117",,Puttalam,,,,"79.800644","7.501755",North Western,"40 Acres, Iranawila",Iranawila West,"777156235",Iranawila, 
"13121",MOH Office,MOH - Chilaw,"5161",,Puttalam,,,,"79.8007","7.579299",North Western,"MOH Office, Chilaw",Echchampitiya,"322222278",MOH - Chilaw, 
"13122",Clinic,Urban Council,"5167",,Puttalam,,,,"79.801032","7.579263",North Western,"MOH Office, Chilaw",Echchampitiya,"777188017",Urban Council, 
"13123",Clinic,Clinic - Chilaw Central,"8447",,Puttalam,,,,"79.801032","7.579263",North Western, , , ,Clinic - Chilaw Central, 
"13124",Clinic,Karukkupane Clinic,"5109",,Puttalam,,,,"79.801124","7.633171",North Western,"Sinna Karukkupane, Bangadeniya",Karukkupane,"773335148",Karukkupane Clinic, 
"13125",Clinic,Kanamulla,"5200",,Puttalam,,,,"79.801959","7.898496",North Western,"Kanamulla Road, Kanamulla",Kanamulla,"726510953",Kanamulla, 
"13126",Clinic,Jayabima,"5170",,Puttalam,,,,"79.805095","7.595427",North Western,"Prajashalawa, Jayabima",Deduruoya,"718197012",Jayabima, 
"13127",PMCU,PMCU Pulithivayal,"5202",,Puttalam,,,,"79.805472","7.948819",North Western,"Puluthivayal, Palavi",Puluthivayal,"717424674",PMCU Pulithivayal, 
"13128",Clinic,Clinic - Puladiwayal PMCU,"8477",,Puttalam,,,,"79.805472","7.948819",North Western, , , ,Clinic - Puladiwayal PMCU, 
"13129",PMCU,Thoduwawa PMCU,"5119",,Puttalam,,,,"79.806613","7.471016",North Western,"PMCU, Thoduwawa",Thoduwawa Central,"322256162",Thoduwawa PMCU, 
"13130",Clinic,Clinic - Thoduwawa PMCU,"8495",,Puttalam,,,,"79.806613","7.471016",North Western, , , ,Clinic - Thoduwawa PMCU, 
"13131",Clinic,Kadayamatta,"5203",,Puttalam,,,,"79.806698","7.911763",North Western,"Clinic Centre, Kadayamatta",Kadayamatta,"774211457",Kadayamatta, 
"13132",PMCU,PMCU Karambai,"5217",,Puttalam,,,,"79.807318","7.968259",North Western,"Karambai, Palawiya",Karambai,"719426379",PMCU Karambai, 
"13133",Clinic,Clinic - Karambe PMCU,"8462",,Puttalam,,,,"79.807318","7.968259",North Western, , , ,Clinic - Karambe PMCU, 
"13134",PMCU,Eluwaitivu PMCU,"7403",,Jaffna,,,,"79.810455","9.690268",Northern,"Ward No 4, Eluvativu", , ,Eluwaitivu PMCU,Provincial Council
"13135",Clinic,Clinic - Eluwaitivu PMCU,"8343",,Jaffna,,,,"79.810455","9.690268",Northern, , , ,Clinic - Eluwaitivu PMCU, 
"13136",Clinic,Barudelpola,"5115",,Puttalam,,,,"79.810916","7.434028",North Western,"Thalwila Wella, Thoduwawa",Barudelpola,"724044317",Barudelpola, 
"13137",Clinic,Wiruthode,"5201",,Puttalam,,,,"79.811657","7.924329",North Western,"Wiruthode Road, Wiruthode",Wiruthode,"718285590",Wiruthode, 
"13138",Clinic,Sawarana,"5162",,Puttalam,,,,"79.813044","7.559808",North Western,"Sawarana, Chilaw",Sawarana,"716500562",Sawarana, 
"13139",PMCU,Karativu PMCU,"5247",,Puttalam,,,,"79.815566","8.217669",North Western,"Beach Road, Karativu North, Karativu",Karativu North,"719042223",Karativu PMCU, 
"13140",Clinic,Clinic - Karathivu PMCU,"8485",,Puttalam,,,,"79.815566","8.217669",North Western, , , ,Clinic - Karathivu PMCU, 
"13141",Clinic,Kakkapalliya,"5165",,Puttalam,,,,"79.81736","7.537815",North Western,Kakkapalliya,Kakkapalliya,"716550696",Kakkapalliya, 
"13142",Divisional Hospital,"Divisional Hospital, Pesalai","4574",,Mannar,,,,"79.82043","9.08589",Northern, ,Pesalai West, ,"Divisional Hospital, Pesalai", 
"13143",PMCU,"Central Dispensary, Pitipana","1755",,Gampaha,,,,"79.821063","7.196727",Western,Pitipana,Pitipana Town, ,"Central Dispensary, Pitipana", 
"13144",Divisional Hospital,Divisional Hospital - Pungudutivu,"770",,Jaffna,,,,"79.822496","9.583937",Northern,"10th ward, Pungudutivu",Nainativu Centre,"213205797",Divisional Hospital - Pungudutivu, 
"13145",Clinic,DH Clinic Pungudutivu,"776",,Jaffna,,,,"79.822496","9.583937",Northern,"10th ward, Pungudutivu", ,"213205797",DH Clinic Pungudutivu, 
"13146",PMCU,PMCU Madurankuliya,"5204",,Puttalam,,,,"79.82306","7.909726",North Western,Madurankuliya,Madurankuliya,"322053561",PMCU Madurankuliya, 
"13147",Clinic,Clinic - Madurankuliya PMCU,"8471",,Puttalam,,,,"79.82306","7.909726",North Western, , , ,Clinic - Madurankuliya PMCU, 
"13148",Clinic,CC center Saravanai,"777",,Jaffna,,,,"79.824247","9.587764",Northern,"Saravanai, Velanai East",Velanai East,"212211555",CC center Saravanai, 
"13149",Divisional Hospital,"Divisional Hospital, Thalahena","1754",,Gampaha,,,,"79.824928","7.17071",Western,Thalahena, , ,"Divisional Hospital, Thalahena", 
"13150",Clinic,Clinic - Thalahena PMCU,"8583",,Gampaha,,,,"79.824928","7.17071",Western, , , ,Clinic - Thalahena PMCU, 
"13151",PMCU,PMCU - Thalahena,"1753",,Gampaha,,,,"79.824933","7.170265",Western,Thalahena, , ,PMCU - Thalahena, 
"13152",Clinic,Bangadeniya Clinic,"5110",,Puttalam,,,,"79.825405","7.626819",North Western,"Pallama Road, Bangadeniya",Weerakumandaluwa,"772256521",Bangadeniya Clinic, 
"13153",Clinic,Manathivu,"5249",,Puttalam,,,,"79.82551","8.070669",North Western,"Clinic centre, Mannar Road, Manativu.",Manativu,"714664454",Manathivu, 
"13154",Clinic,Mahawewa,"5118",,Puttalam,,,,"79.826928","7.452078",North Western,"Temple Road, Mahawewa",Ihala Mahawewa,"779713472",Mahawewa, 
"13155",Clinic,Manuwangama,"5169",,Puttalam,,,,"79.827174","7.600892",North Western,"Manuwangama Clinic, Manuwangama",Manuwangama East,"777061034",Manuwangama, 
"13856",Clinic,GHC Potkeny,"4611",,Mannar,,,,"79.98089","8.76992",Northern, , ,"-",GHC Potkeny, 
"13156",Other Health Institute,St. Anne's Nursing Home,"5182",,Puttalam,,,,"79.827631","7.412376",North Western,"Church Road, Marawila",Marawila City,"312254299",St. Anne's Nursing Home, 
"13157",Divisional Hospital,Divisional Hospital - Mundal,"5193",,Puttalam,,,,"79.827757","7.788967",North Western,"District Hospital, Colombo road, Mundal",Karathanwillu,"323327261",Divisional Hospital - Mundal, 
"13158",Clinic,Clinic - Mundal DH,"8473",,Puttalam,,,,"79.827757","7.788967",North Western, , , ,Clinic - Mundal DH, 
"13159",MOH Office,MOH Mundal,"5188",,Puttalam,,,,"79.827889","7.789277",North Western,MOH Office Mundal,Karathanwillu,"322052278",MOH Mundal, 
"13160",Clinic,Clinic - Mundal MOH,"8472",,Puttalam,,,,"79.827889","7.789277",North Western, , , ,Clinic - Mundal MOH, 
"13161",Clinic,MRCD,"5250",,Puttalam,,,,"79.828201","8.037962",North Western,"MRCD, Mannar Road, Puttalam.",Pudukudirippu 614F,"714346814",MRCD, 
"13162",Clinic,Mullipuram,"5252",,Puttalam,,,,"79.828201","8.037962",North Western,"Mullikulam Clinic, Manar Road, Puttalam.",Pudukudirippu,"719340050",Mullipuram, 
"13163",Clinic,Clinic - KKS,"8486",,Puttalam,,,,"79.828292","8.037959",North Western, , , ,Clinic - KKS, 
"13164",Divisional Hospital,Divisional Hospital - Anawilundawa,"5114",,Puttalam,,,,"79.828939","7.701043",North Western,"Puttalam Road, Anawilundawa",Ilankattuwa,"322259561",Divisional Hospital - Anawilundawa, 
"13165",Clinic,Clinic - Anavilundawa DH,"8456",,Puttalam,,,,"79.828939","7.701043",North Western, , , ,Clinic - Anavilundawa DH, 
"13166",Clinic,Weerapura,"5261",,Puttalam,,,,"79.829616","7.950298",North Western,"Hidayath Nagar, Weerapura",Weerapura,"724857595",Weerapura, 
"13167",PMCU,PMCU Hidayath Nagar,"7420",,Puttalam,,,,"79.829616","7.950298",North Western,"PMCU Hidayath Nagar, Weerapura",Weerapura, ,PMCU Hidayath Nagar, 
"13168",Clinic,Pudukudirippu,"5190",,Puttalam,,,,"79.830073","7.753257",North Western,"Clinic Building, Pulichchikulam",Pulichchikulam, ,Pudukudirippu, 
"13169",Clinic,Clinic - Keeriyankalliya,"8475",,Puttalam,,,,"79.830087","7.753224",North Western, , , ,Clinic - Keeriyankalliya, 
"13170",Clinic,Malwaththa,"5175",,Puttalam,,,,"79.830638","7.578816",North Western,"Malwaththa, Ilippadeniya",Ilippadeniya,"718197011",Malwaththa, 
"13171",Clinic,Katuneriya,"5142",,Puttalam,,,,"79.831689","7.364944",North Western,Katuneriya Down Central,Meda Pahala Katuneriya,"775188294",Katuneriya, 
"13172",Base Hospital,B H Marawila,"5268",,Puttalam,,,,"79.832138","7.393453",North Western,"Colombo Road, Marawila",Lansigama,"322254261",B H Marawila, 
"13173",Divisional Hospital,Divisional Hospital - Madampe,"5158",,Puttalam,,,,"79.832142","7.484039",North Western,"Divisional Hospital, Madampe",Ihalagama,"322247661",Divisional Hospital - Madampe, 
"13174",Clinic,Clinic - Madampe DH,"8445",,Puttalam,,,,"79.832142","7.484039",North Western, , , ,Clinic - Madampe DH, 
"13175",MOH Office,MOH Naththandiya,"5135",,Puttalam,,,,"79.833066","7.385761",North Western,"Mudukatuwa, Marawila",Mudukatuwa South,"322254278",MOH Naththandiya, 
"13176",Clinic,Clinic - Naththandiya MOH,"8494",,Puttalam,,,,"79.833066","7.385761",North Western, , , ,Clinic - Naththandiya MOH, 
"13177",MOH Office,MOH Puttalam,"5208",,Puttalam,,,,"79.833128","8.022802",North Western,"MOH Office, Puttalam",Puttalam South,"322265201",MOH Puttalam, 
"13178",Clinic,Clinic - Puttalam MOH Central,"8484",,Puttalam,,,,"79.833128","8.022802",North Western, , , ,Clinic - Puttalam MOH Central, 
"13179",Clinic,Goodshed,"5194",,Puttalam,,,,"79.833271","8.022912",North Western,"MOH Office, Puttalam",Puttalam South,"718414562",Goodshed, 
"13180",Clinic,Poththuwilluwa,"5259",,Puttalam,,,,"79.833517","7.958923",North Western,"Clinic centre, Nagawilluwa, Palawiya",Poththuwilluwa,"714443297",Poththuwilluwa, 
"13181",Clinic,"Clinic Center & Dispensary, Munnakkaraya","1756",,Gampaha,,,,"79.833693","7.19734",Western,Munnakkaraya,Siriwardana Pedesa, ,"Clinic Center & Dispensary, Munnakkaraya", 
"13182",Clinic,Haththiniya,"5116",,Puttalam,,,,"79.834293","7.432963",North Western,"Meda Haththiniya, Marawila",Haththiniya Central,"322250767",Haththiniya, 
"13183",MOH Office,MOH Office - Mahawewa,"5120",,Puttalam,,,,"79.834337","7.43308",North Western,"Meda Haththiniya, Marawila",Haththiniya Central,"322250767",MOH Office - Mahawewa, 
"13185",Clinic,Palawiya,"5212",,Puttalam,,,,"79.835","7.980769",North Western,"Sewa Piyasa, Palawiya",Palawiya,715761653  702584608,Palawiya, 
"13186",MOH Office,MOH Arachchikattuwa,"5112",,Puttalam,,,,"79.835049","7.667919",North Western,Arachchikattuwa,Arachchikattuwa West,"322259350",MOH Arachchikattuwa, 
"13187",Clinic,Clinic - Arachchikattuwa MOH Central,"8454",,Puttalam,,,,"79.835049","7.667919",North Western, , , ,Clinic - Arachchikattuwa MOH Central, 
"13188",Clinic,Clinic - Arachchikattuwa,"8455",,Puttalam,,,,"79.835049","7.667919",North Western, , , ,Clinic - Arachchikattuwa, 
"13189",Clinic,Chest Clinic Puttalam,"5209",,Puttalam,,,,"79.835266","8.015929",North Western,"District Chest Clinic, Puttalam",Puttalam South,"322265361",Chest Clinic Puttalam, 
"13190",Clinic,Anti Malaria Unit,"5214",,Puttalam,,,,"79.835299","8.016243",North Western,"Colombo road, Puttalam",Puttalam South,"252,221,926,322,265,300",Anti Malaria Unit,Provincial Council
"13191",Clinic,Ulhitiyawa,"5134",,Puttalam,,,,"79.836287","7.337236",North Western,"Helen Mawatha, Ulhitiyawa South, Wennappuwa",Ulhitiyawa South 492A,"766723134",Ulhitiyawa, 
"13192",Clinic,Saviyapura,"5253",,Puttalam,,,,"79.836728","8.03466",North Western,"Dr. Bathiudeen Mahumood Street, Puttalam",Puttalam East,"729994810",Saviyapura, 
"13193",PMCU,Veppamadu PMCU,"5243",,Puttalam,,,,"79.837028","8.072361",North Western,"PMCU, Veppamadu",Manativu,"714662122",Veppamadu PMCU, 
"13194",Clinic,Clinic - Veppamadu PMCU,"8481",,Puttalam,,,,"79.837028","8.072361",North Western, , , ,Clinic - Veppamadu PMCU, 
"13195",Other Health Institute,Digasiri Hospital (Pvt),"5262",,Puttalam,,,,"79.838412","8.026859",North Western,"Kurunegala Road, Puttalam",Puttalam West,"322266999",Digasiri Hospital (Pvt), 
"13196",Base Hospital,Base Hospital - Puttalam,"5263",,Puttalam,,,,"79.838729","8.027698",North Western,"Kurunegala Road, Puttalam",Puttalam West,"322265261",Base Hospital - Puttalam, 
"13197",Other Health Institute,Balasooriya Hospital (Pvt),"5264",,Puttalam,,,,"79.839003","8.02681",North Western,"118A, Kurunegala Road, Puttalam",Puttalam West,"322266266",Balasooriya Hospital (Pvt), 
"13198",MOH Office,MOH - Madampe,"5153",,Puttalam,,,,"79.839075","7.502195",North Western,"MOH Office, Madampe",Karukkuwa,"322249500",MOH - Madampe,Provincial Council
"13199",Clinic,Karukkuwa,"5156",,Puttalam,,,,"79.839269","7.502059",North Western,"Maternal Clinic, Karukkuwa",Karukkuwa,"771563019",Karukkuwa, 
"13200",Clinic,Nindeniya,"5213",,Puttalam,,,,"79.839408","8.004594",North Western,Thilladiya Clinic,Thilladiya,"702579754",Nindeniya, 
"13201",Clinic,Thilladi,"5210",,Puttalam,,,,"79.839555","8.004725",North Western,"Thilladiya, Puttalam",Thilladiya,"702748833",Thilladi, 
"13202",Clinic,"Clinic Center , Kadollkale","1757",,Gampaha,,,,"79.8404","7.197348",Western,Kadollkale,Thaladoowa, ,"Clinic Center , Kadollkale", 
"13203",Clinic,Rathmalyaya,"5207",,Puttalam,,,,"79.84047","7.998576",North Western,"2nd Street, Rathmalyaya",Rathmalyaya,"714692318",Rathmalyaya, 
"13204",Other Health Institute,Manthree Nursing Home,"1772",,Gampaha,,,,"79.840533","7.214023",Western,Negombo,Periyamulla, ,Manthree Nursing Home, 
"13205",Clinic,Kolinjadiya,"5132",,Puttalam,,,,"79.841388","7.350555",North Western,"Apeksha Pre-School, East Kolinjadiya, Wennappuwa",Kolinjadiya East,"772692360",Kolinjadiya, 
"13206",Clinic,"Clinic Center, Palangathura","1760",,Gampaha,,,,"79.842268","7.24895",Western,Plangathura,Palangathure, ,"Clinic Center, Palangathura", 
"13207",Other Health Institute,Ave Maria Hospital,"1771",,Gampaha,,,,"79.842298","7.216005",Western,"No: 1, Negombo",Periyamulla, ,Ave Maria Hospital, 
"13208",Clinic,"Clinic Center, Poruthota","1762",,Gampaha,,,,"79.842833","7.261952",Western,Poruthota,Kammalthura, ,"Clinic Center, Poruthota", 
"13209",Clinic,Manalkundru,"5254",,Puttalam,,,,"79.843079","8.040511",North Western,"Pre-school building, Manalkundru",Manalkundru,"711830509",Manalkundru, 
"13210",PMCU,Wennappuwa PMCU,"5125",,Puttalam,,,,"79.84313","7.342056",North Western,P. M. C. U. / Wennappuwa,Wennappuwa South,"313719733",Wennappuwa PMCU, 
